what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1342443820814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342443821651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445231278
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342445232517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445233484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445287852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445291170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445302513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445303550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445326861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445330209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342445334695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342445338151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342445340669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342445342356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445345680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445346402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445347177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445351234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445352108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445352756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445353303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445353864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445354433
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445370518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445384200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445397327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445414990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445428973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445431419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445455016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445455303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342445460464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445462108
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445473391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445479436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342445493254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342445495301
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1342445496604
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1342445498738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342445543381
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342445550617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445554884
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342445558808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445566638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445572751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445578458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445592526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445597214
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1342445623260
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1342445623261
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1342445623262
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1342445623270
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1342445623271
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1342445623272
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1342445623287
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1342445623288
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1342445625089
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1342445625090
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1342445625092
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_large",1342445625103
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_medium",1342445625104
error,log,,,"Warning: Ignoring name conflict in resource file for name padding_small",1342445625105
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1342445625116
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1342445625117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342445625471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1342445625490
opened,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342445626841
activated,editor,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.editors.CommonXmlEditor",1342445627030
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445630961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342445631051
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1342445640893
